date,value
2015-05-22,101.858333
2015-05-25,101.940758
2015-05-26,101.923182
2015-05-27,101.91803
2015-05-28,101.902879
2015-05-29,101.911667
2015-06-01,101.903125
2015-06-02,101.82625
2015-06-03,101.814063
2015-06-04,101.809688
2015-06-05,101.827188
2015-06-08,101.831875
2015-06-09,101.837813
2015-06-10,101.838125
2015-06-11,101.83875
2015-06-12,101.753438
2015-06-15,101.704688
2015-06-16,101.701563
2015-06-17,101.721563
2015-06-18,101.717813
2015-06-22,101.7325
2015-06-23,101.718125
2015-06-24,101.734063
2015-06-25,101.726875
2015-06-26,101.726875
2015-06-29,101.732813
2015-06-30,101.725938
2015-07-02,101.726563
2015-07-03,101.701094
2015-07-06,101.707813
2015-07-07,101.705313
2015-07-08,101.701875
2015-07-09,101.688438
2015-07-10,101.6725
2015-07-13,101.663438
2015-07-14,101.671875
2015-07-15,101.67625
2015-07-16,101.656563
2015-07-22,101.739375
2015-07-23,101.785313
2015-07-24,101.759375
2015-07-27,101.785
2015-07-28,101.769688
2015-07-29,101.759688
2015-07-30,101.75375
2015-07-31,101.745625
2015-08-03,101.749375
2015-08-04,101.760938
2015-08-05,101.75
2015-08-06,101.760625
2015-08-07,101.743125
2015-08-10,101.76125
2015-08-11,101.763438
2015-08-12,101.755938
2015-08-13,101.762813
2015-08-17,101.80125
2015-08-18,101.854063
2015-08-19,101.86625
2015-08-20,101.843125
2015-08-21,101.859063
2015-08-24,102.172188
2015-08-25,103.960313
2015-08-26,104.060313
2015-08-27,103.750416
2015-08-28,103.842813
2015-08-31,103.904688
2015-09-01,104.016129
2015-09-02,104.05129
2015-09-03,104.069032
2015-09-04,104.086452
2015-09-07,104.104516
2015-09-08,104.205484
2015-09-09,104.242903
2015-09-10,104.190968
2015-09-11,104.236129
2015-09-14,104.265484
2015-09-15,104.220323
2015-09-16,104.226129
2015-09-17,104.242258
2015-09-18,104.249355
2015-09-21,104.254194
2015-09-22,104.238387
2015-09-23,104.242581
2015-09-28,104.31
2015-09-29,104.335161
2015-09-30,104.349355
2015-10-01,104.39
2015-10-02,104.352258
2015-10-05,104.359677
2015-10-06,104.383548
2015-10-07,104.369032
