Country,Indicator,Date,Close,Source,Frequency
akistan,Exchange Rate,4/14/2022,180.64,Trading Economics,Daily
akistan,Exchange Rate,4/13/2022,181.25,Trading Economics,Daily
akistan,Exchange Rate,4/12/2022,181.62,Trading Economics,Daily
akistan,Exchange Rate,4/11/2022,182.82,Trading Economics,Daily
akistan,Exchange Rate,4/8/2022,184,Trading Economics,Daily
akistan,Exchange Rate,4/7/2022,188,Trading Economics,Daily
akistan,Exchange Rate,4/6/2022,186.05,Trading Economics,Daily
akistan,Exchange Rate,4/5/2022,185.1,Trading Economics,Daily
akistan,Exchange Rate,4/4/2022,183.2,Trading Economics,Daily
akistan,Exchange Rate,4/1/2022,183.9,Trading Economics,Daily
akistan,Exchange Rate,3/31/2022,183.4,Trading Economics,Daily
akistan,Exchange Rate,3/30/2022,182.4,Trading Economics,Daily
akistan,Exchange Rate,3/29/2022,182.2,Trading Economics,Daily
akistan,Exchange Rate,3/28/2022,182.1,Trading Economics,Daily
akistan,Exchange Rate,3/25/2022,181.7,Trading Economics,Daily
akistan,Exchange Rate,3/24/2022,181.6,Trading Economics,Daily
akistan,Exchange Rate,3/23/2022,181.7,Trading Economics,Daily
akistan,Exchange Rate,3/22/2022,181.7,Trading Economics,Daily
akistan,Exchange Rate,3/21/2022,181.15,Trading Economics,Daily
akistan,Exchange Rate,3/18/2022,180.5,Trading Economics,Daily
akistan,Exchange Rate,3/17/2022,179.55,Trading Economics,Daily
akistan,Exchange Rate,3/16/2022,179.3,Trading Economics,Daily
akistan,Exchange Rate,3/15/2022,179.15,Trading Economics,Daily
akistan,Exchange Rate,3/14/2022,179,Trading Economics,Daily
akistan,Exchange Rate,3/11/2022,178.35,Trading Economics,Daily
akistan,Exchange Rate,3/10/2022,178.5,Trading Economics,Daily
akistan,Exchange Rate,3/9/2022,178.5,Trading Economics,Daily
akistan,Exchange Rate,3/8/2022,178.5,Trading Economics,Daily
akistan,Exchange Rate,3/7/2022,177.8,Trading Economics,Daily
akistan,Exchange Rate,3/4/2022,177.25,Trading Economics,Daily
akistan,Exchange Rate,3/3/2022,177.5,Trading Economics,Daily
akistan,Exchange Rate,3/2/2022,177.35,Trading Economics,Daily
akistan,Exchange Rate,3/1/2022,177.25,Trading Economics,Daily
akistan,Exchange Rate,2/28/2022,177.25,Trading Economics,Daily
akistan,Exchange Rate,2/25/2022,176.8,Trading Economics,Daily
akistan,Exchange Rate,2/24/2022,176.5,Trading Economics,Daily
akistan,Exchange Rate,2/23/2022,176,Trading Economics,Daily
akistan,Exchange Rate,2/22/2022,176,Trading Economics,Daily
akistan,Exchange Rate,2/21/2022,175.6,Trading Economics,Daily
akistan,Exchange Rate,2/18/2022,175.6,Trading Economics,Daily
akistan,Exchange Rate,2/17/2022,175.2,Trading Economics,Daily
akistan,Exchange Rate,2/16/2022,175.5,Trading Economics,Daily
akistan,Exchange Rate,2/15/2022,175.8,Trading Economics,Daily
akistan,Exchange Rate,2/14/2022,175.75,Trading Economics,Daily
akistan,Exchange Rate,2/11/2022,174.5,Trading Economics,Daily
akistan,Exchange Rate,2/10/2022,174.9,Trading Economics,Daily
akistan,Exchange Rate,2/9/2022,174.15,Trading Economics,Daily
akistan,Exchange Rate,2/8/2022,174,Trading Economics,Daily
akistan,Exchange Rate,2/7/2022,174.28,Trading Economics,Daily
akistan,Exchange Rate,2/4/2022,174.13,Trading Economics,Daily
akistan,Exchange Rate,2/3/2022,175.6,Trading Economics,Daily
akistan,Exchange Rate,2/2/2022,175.97,Trading Economics,Daily
akistan,Exchange Rate,2/1/2022,176,Trading Economics,Daily
akistan,Exchange Rate,1/31/2022,176.32,Trading Economics,Daily
akistan,Exchange Rate,1/28/2022,176.5,Trading Economics,Daily
akistan,Exchange Rate,1/27/2022,176.6,Trading Economics,Daily
akistan,Exchange Rate,1/26/2022,176.7,Trading Economics,Daily
akistan,Exchange Rate,1/25/2022,176.2,Trading Economics,Daily
akistan,Exchange Rate,1/24/2022,175.94,Trading Economics,Daily
akistan,Exchange Rate,1/21/2022,176,Trading Economics,Daily
akistan,Exchange Rate,1/20/2022,176.25,Trading Economics,Daily
akistan,Exchange Rate,1/19/2022,175.97,Trading Economics,Daily
akistan,Exchange Rate,1/18/2022,175.52,Trading Economics,Daily
akistan,Exchange Rate,1/17/2022,175.9,Trading Economics,Daily
akistan,Exchange Rate,1/14/2022,175.75,Trading Economics,Daily
akistan,Exchange Rate,1/13/2022,176,Trading Economics,Daily
akistan,Exchange Rate,1/12/2022,175.9,Trading Economics,Daily
akistan,Exchange Rate,1/11/2022,176.37,Trading Economics,Daily
akistan,Exchange Rate,1/10/2022,176.3,Trading Economics,Daily
akistan,Exchange Rate,1/7/2022,176.55,Trading Economics,Daily
akistan,Exchange Rate,1/6/2022,176.65,Trading Economics,Daily
akistan,Exchange Rate,1/5/2022,176.3,Trading Economics,Daily
akistan,Exchange Rate,1/4/2022,176.25,Trading Economics,Daily
akistan,Exchange Rate,1/3/2022,176.27,Trading Economics,Daily
akistan,Exchange Rate,12/31/2021,175.8,Trading Economics,Daily
